usage: main.py [-h] [--dataset DATASET] [--topic_num TOPIC_NUM]
               [--init_dataset] [--seed SEED] [--time_steps TIME_STEPS]
               [--AI AI] [--LAMBDA LAMBDA] [--prob_send_msg PROB_SEND_MSG]
               [--k K] [--worker_num WORKER_NUM] [--plot] [--multi_thread]
               [--plot_type PLOT_TYPE]

Hyper Parameters

optional arguments:
  -h, --help            show this help message and exit
  --dataset DATASET
  --topic_num TOPIC_NUM
  --init_dataset
  --seed SEED
  --time_steps TIME_STEPS
  --AI AI
  --LAMBDA LAMBDA
  --prob_send_msg PROB_SEND_MSG
  --k K
  --worker_num WORKER_NUM
  --plot
  --multi_thread
  --plot_type PLOT_TYPE
Namespace(AI='CB', LAMBDA=0.5, dataset='ciao_clean', init_dataset=False, k=5, multi_thread=False, plot=False, plot_type='fb', prob_send_msg=0.2, seed=321, time_steps=1000, topic_num=5, worker_num=10)
Time step: 0 | Execution time: 1s | Avg. FB: 0.523210
Time step: 1 | Execution time: 9s | Avg. FB: 1.211521
Time step: 2 | Execution time: 12s | Avg. FB: 1.410855
Time step: 3 | Execution time: 12s | Avg. FB: 1.490579
Time step: 4 | Execution time: 13s | Avg. FB: 1.527171
Time step: 5 | Execution time: 12s | Avg. FB: 1.545453
Time step: 6 | Execution time: 13s | Avg. FB: 1.554660
Time step: 7 | Execution time: 13s | Avg. FB: 1.560888
Time step: 8 | Execution time: 12s | Avg. FB: 1.563716
Time step: 9 | Execution time: 12s | Avg. FB: 1.565805
Time step: 10 | Execution time: 11s | Avg. FB: 1.566917
Time step: 11 | Execution time: 12s | Avg. FB: 1.567646
Time step: 12 | Execution time: 14s | Avg. FB: 1.567878
Time step: 13 | Execution time: 12s | Avg. FB: 1.568159
Time step: 14 | Execution time: 13s | Avg. FB: 1.568416
Time step: 15 | Execution time: 15s | Avg. FB: 1.567809
Time step: 16 | Execution time: 13s | Avg. FB: 1.567652
Time step: 17 | Execution time: 13s | Avg. FB: 1.567694
Time step: 18 | Execution time: 13s | Avg. FB: 1.567709
Time step: 19 | Execution time: 15s | Avg. FB: 1.567449
Time step: 20 | Execution time: 12s | Avg. FB: 1.567441
Time step: 21 | Execution time: 13s | Avg. FB: 1.567409
Time step: 22 | Execution time: 13s | Avg. FB: 1.567081
Time step: 23 | Execution time: 13s | Avg. FB: 1.566977
Time step: 24 | Execution time: 16s | Avg. FB: 1.566649
Time step: 25 | Execution time: 11s | Avg. FB: 1.566548
Time step: 26 | Execution time: 12s | Avg. FB: 1.566530
Time step: 27 | Execution time: 13s | Avg. FB: 1.566586
Time step: 28 | Execution time: 12s | Avg. FB: 1.566672
Time step: 29 | Execution time: 13s | Avg. FB: 1.566504
Time step: 30 | Execution time: 16s | Avg. FB: 1.566578
Time step: 31 | Execution time: 13s | Avg. FB: 1.566500
Time step: 32 | Execution time: 13s | Avg. FB: 1.566317
Time step: 33 | Execution time: 13s | Avg. FB: 1.566237
Time step: 34 | Execution time: 13s | Avg. FB: 1.566160
Time step: 35 | Execution time: 13s | Avg. FB: 1.566236
Time step: 36 | Execution time: 13s | Avg. FB: 1.566120
Time step: 37 | Execution time: 12s | Avg. FB: 1.566088
Time step: 38 | Execution time: 18s | Avg. FB: 1.565912
Time step: 39 | Execution time: 13s | Avg. FB: 1.565900
Time step: 40 | Execution time: 12s | Avg. FB: 1.565873
Time step: 41 | Execution time: 13s | Avg. FB: 1.565828
Time step: 42 | Execution time: 13s | Avg. FB: 1.565718
Time step: 43 | Execution time: 11s | Avg. FB: 1.565683
Time step: 44 | Execution time: 14s | Avg. FB: 1.565620
Time step: 45 | Execution time: 13s | Avg. FB: 1.565618
Time step: 46 | Execution time: 14s | Avg. FB: 1.565496
Time step: 47 | Execution time: 13s | Avg. FB: 1.565401
Time step: 48 | Execution time: 20s | Avg. FB: 1.565316
Time step: 49 | Execution time: 13s | Avg. FB: 1.565293
Time step: 50 | Execution time: 12s | Avg. FB: 1.565234
Time step: 51 | Execution time: 13s | Avg. FB: 1.565167
Time step: 52 | Execution time: 14s | Avg. FB: 1.565208
Time step: 53 | Execution time: 14s | Avg. FB: 1.565097
Time step: 54 | Execution time: 13s | Avg. FB: 1.564984
Time step: 55 | Execution time: 14s | Avg. FB: 1.565024
Time step: 56 | Execution time: 14s | Avg. FB: 1.565101
Time step: 57 | Execution time: 14s | Avg. FB: 1.565128
Time step: 58 | Execution time: 14s | Avg. FB: 1.565141
Time step: 59 | Execution time: 12s | Avg. FB: 1.565164
Time step: 60 | Execution time: 19s | Avg. FB: 1.565177
Time step: 61 | Execution time: 12s | Avg. FB: 1.565161
Time step: 62 | Execution time: 13s | Avg. FB: 1.565141
Time step: 63 | Execution time: 14s | Avg. FB: 1.565118
Time step: 64 | Execution time: 12s | Avg. FB: 1.565091
Time step: 65 | Execution time: 14s | Avg. FB: 1.565015
Time step: 66 | Execution time: 14s | Avg. FB: 1.564876
Time step: 67 | Execution time: 13s | Avg. FB: 1.564865
Time step: 68 | Execution time: 11s | Avg. FB: 1.564834
Time step: 69 | Execution time: 14s | Avg. FB: 1.564846
Time step: 70 | Execution time: 14s | Avg. FB: 1.564830
Time step: 71 | Execution time: 14s | Avg. FB: 1.564773
Time step: 72 | Execution time: 13s | Avg. FB: 1.564804
Time step: 73 | Execution time: 12s | Avg. FB: 1.564734
Time step: 74 | Execution time: 14s | Avg. FB: 1.564735
Time step: 75 | Execution time: 22s | Avg. FB: 1.564730
Time step: 76 | Execution time: 14s | Avg. FB: 1.564683
Time step: 77 | Execution time: 14s | Avg. FB: 1.564685
Time step: 78 | Execution time: 12s | Avg. FB: 1.564759
Time step: 79 | Execution time: 13s | Avg. FB: 1.564786
Time step: 80 | Execution time: 14s | Avg. FB: 1.564709
Time step: 81 | Execution time: 14s | Avg. FB: 1.564619
Time step: 82 | Execution time: 14s | Avg. FB: 1.564608
Time step: 83 | Execution time: 14s | Avg. FB: 1.564625
Time step: 84 | Execution time: 15s | Avg. FB: 1.564541
Time step: 85 | Execution time: 13s | Avg. FB: 1.564547
Time step: 86 | Execution time: 14s | Avg. FB: 1.564533
Time step: 87 | Execution time: 14s | Avg. FB: 1.564545
Time step: 88 | Execution time: 14s | Avg. FB: 1.564558
Time step: 89 | Execution time: 15s | Avg. FB: 1.564546
Time step: 90 | Execution time: 15s | Avg. FB: 1.564485
Time step: 91 | Execution time: 15s | Avg. FB: 1.564454
Time step: 92 | Execution time: 14s | Avg. FB: 1.564292
Time step: 93 | Execution time: 14s | Avg. FB: 1.564251
Time step: 94 | Execution time: 25s | Avg. FB: 1.564276
Time step: 95 | Execution time: 14s | Avg. FB: 1.564232
Time step: 96 | Execution time: 14s | Avg. FB: 1.564186
Time step: 97 | Execution time: 15s | Avg. FB: 1.564195
Time step: 98 | Execution time: 15s | Avg. FB: 1.564222
Time step: 99 | Execution time: 15s | Avg. FB: 1.564146
Time step: 100 | Execution time: 13s | Avg. FB: 1.564152
Time step: 101 | Execution time: 15s | Avg. FB: 1.564138
Time step: 102 | Execution time: 15s | Avg. FB: 1.564134
Time step: 103 | Execution time: 15s | Avg. FB: 1.564085
Time step: 104 | Execution time: 15s | Avg. FB: 1.564082
Time step: 105 | Execution time: 16s | Avg. FB: 1.564083
Time step: 106 | Execution time: 15s | Avg. FB: 1.564075
Time step: 107 | Execution time: 15s | Avg. FB: 1.564052
Time step: 108 | Execution time: 15s | Avg. FB: 1.564046
Time step: 109 | Execution time: 13s | Avg. FB: 1.564047
Time step: 110 | Execution time: 15s | Avg. FB: 1.564032
Time step: 111 | Execution time: 15s | Avg. FB: 1.564039
Time step: 112 | Execution time: 14s | Avg. FB: 1.564066
Time step: 113 | Execution time: 15s | Avg. FB: 1.564071
Time step: 114 | Execution time: 15s | Avg. FB: 1.564051
Time step: 115 | Execution time: 15s | Avg. FB: 1.564047
Time step: 116 | Execution time: 15s | Avg. FB: 1.564009
Time step: 117 | Execution time: 15s | Avg. FB: 1.564029
Time step: 118 | Execution time: 27s | Avg. FB: 1.564026
Time step: 119 | Execution time: 15s | Avg. FB: 1.564013
Time step: 120 | Execution time: 16s | Avg. FB: 1.564038
Time step: 121 | Execution time: 15s | Avg. FB: 1.564073
Time step: 122 | Execution time: 15s | Avg. FB: 1.564052
Time step: 123 | Execution time: 15s | Avg. FB: 1.564069
Time step: 124 | Execution time: 16s | Avg. FB: 1.564113
Time step: 125 | Execution time: 16s | Avg. FB: 1.564064
Time step: 126 | Execution time: 15s | Avg. FB: 1.564050
Time step: 127 | Execution time: 16s | Avg. FB: 1.564003
Time step: 128 | Execution time: 14s | Avg. FB: 1.564008
Time step: 129 | Execution time: 16s | Avg. FB: 1.563970
Time step: 130 | Execution time: 14s | Avg. FB: 1.563986
Time step: 131 | Execution time: 16s | Avg. FB: 1.563953
Time step: 132 | Execution time: 16s | Avg. FB: 1.563934
Time step: 133 | Execution time: 15s | Avg. FB: 1.563934
Time step: 134 | Execution time: 16s | Avg. FB: 1.563950
Time step: 135 | Execution time: 16s | Avg. FB: 1.563922
Time step: 136 | Execution time: 16s | Avg. FB: 1.563905
Time step: 137 | Execution time: 15s | Avg. FB: 1.563927
Time step: 138 | Execution time: 16s | Avg. FB: 1.563931
Time step: 139 | Execution time: 16s | Avg. FB: 1.563902
Time step: 140 | Execution time: 15s | Avg. FB: 1.563907
Time step: 141 | Execution time: 16s | Avg. FB: 1.563916
Time step: 142 | Execution time: 15s | Avg. FB: 1.563866
Time step: 143 | Execution time: 16s | Avg. FB: 1.563843
Time step: 144 | Execution time: 15s | Avg. FB: 1.563850
Time step: 145 | Execution time: 16s | Avg. FB: 1.563855
Time step: 146 | Execution time: 16s | Avg. FB: 1.563869
Time step: 147 | Execution time: 33s | Avg. FB: 1.563879
Time step: 148 | Execution time: 16s | Avg. FB: 1.563859
Time step: 149 | Execution time: 16s | Avg. FB: 1.563871
Time step: 150 | Execution time: 15s | Avg. FB: 1.563882
Time step: 151 | Execution time: 16s | Avg. FB: 1.563846
Time step: 152 | Execution time: 16s | Avg. FB: 1.563828
Time step: 153 | Execution time: 15s | Avg. FB: 1.563835
Time step: 154 | Execution time: 17s | Avg. FB: 1.563810
Time step: 155 | Execution time: 16s | Avg. FB: 1.563817
Time step: 156 | Execution time: 16s | Avg. FB: 1.563834
Time step: 157 | Execution time: 16s | Avg. FB: 1.563821
Time step: 158 | Execution time: 16s | Avg. FB: 1.563815
Time step: 159 | Execution time: 16s | Avg. FB: 1.563834
Time step: 160 | Execution time: 16s | Avg. FB: 1.563850
Time step: 161 | Execution time: 16s | Avg. FB: 1.563822
Time step: 162 | Execution time: 16s | Avg. FB: 1.563839
Time step: 163 | Execution time: 16s | Avg. FB: 1.563810
Time step: 164 | Execution time: 17s | Avg. FB: 1.563785
Time step: 165 | Execution time: 16s | Avg. FB: 1.563782
Time step: 166 | Execution time: 15s | Avg. FB: 1.563780
Time step: 167 | Execution time: 16s | Avg. FB: 1.563800
Time step: 168 | Execution time: 17s | Avg. FB: 1.563796
Time step: 169 | Execution time: 16s | Avg. FB: 1.563806
Time step: 170 | Execution time: 16s | Avg. FB: 1.563824
Time step: 171 | Execution time: 17s | Avg. FB: 1.563841
Time step: 172 | Execution time: 17s | Avg. FB: 1.563826
Time step: 173 | Execution time: 16s | Avg. FB: 1.563822
Time step: 174 | Execution time: 17s | Avg. FB: 1.563832
Time step: 175 | Execution time: 16s | Avg. FB: 1.563817
Time step: 176 | Execution time: 16s | Avg. FB: 1.563822
Time step: 177 | Execution time: 16s | Avg. FB: 1.563806
Time step: 178 | Execution time: 18s | Avg. FB: 1.563784
Time step: 179 | Execution time: 16s | Avg. FB: 1.563797
Time step: 180 | Execution time: 17s | Avg. FB: 1.563831
Time step: 181 | Execution time: 17s | Avg. FB: 1.563859
Time step: 182 | Execution time: 17s | Avg. FB: 1.563871
Time step: 183 | Execution time: 39s | Avg. FB: 1.563889
Time step: 184 | Execution time: 17s | Avg. FB: 1.563899
Time step: 185 | Execution time: 17s | Avg. FB: 1.563906
Time step: 186 | Execution time: 17s | Avg. FB: 1.563908
Time step: 187 | Execution time: 17s | Avg. FB: 1.563895
Time step: 188 | Execution time: 16s | Avg. FB: 1.563890
